1000020,"LUZ Inc.","","","","www.luz.com","555 Montgomery St., Suite 720, ","CA 94111","San Francisco","555 Montgomery St., Suite 720, San Francisco, CA 94111",1000,1000,1017,"Good","Customer","2016-11-30 04:36:16","2022-09-21 22:03:00"
1000021,"Scriptware","","","","www.scriptwaretranslations.com","Overboslaan 6","2101","Heemstede","",1152,1001,1017,"Good","Customer","2016-12-01 13:21:41","2022-09-21 22:03:00"
1000022,"Translated","","","","www.translated.net","Via Nepal, 29","144","Rome","",1111,1001,1017,"Good","Customer","2016-12-01 13:44:51","2022-09-21 22:03:00"
1000024,"Semantik Dil","","","","www.semantikdil.com","19 Mayis Mah. Inonu Cad. No: 88/12","Tax office: Erenkoy","Tax No. : 760 045 4872 Istanbul ","",1210,1002,1017,"Good","Customer","2016-12-08 09:49:05","2022-09-21 22:03:00"
1000025,"Echo International","","","","www.echointernational.com","FLOOR 14 WEST ","15222","PA ","",1000,1000,1017,"Good","Prospect","2016-12-08 09:56:03","2022-09-21 22:03:00"
1000026,"espell translation and localization ltd. ","","","","www.espell.com"," Karoly krt. 3/a","0","Budapest","",1103,1001,1017,"Good","Prospect","2016-12-08 09:59:54","2022-09-21 22:03:00"
1000027,"Katara Prize for Arabic Novel","","","","","Katara Prize for Arabic Novel","P.O Box: 22899","Doha","",1170,1003,1001,"Good","Customer","2016-12-20 02:42:21","2022-09-21 22:03:00"
1000028,"Think Communication","","info@thinkmarketinglab.com","","www.thinkcommz.com","2 Al Esraa Street Lebanon St","","Cairo","",1081,1003,1011,"Good","Customer","2016-12-20 16:01:49","2022-09-21 22:03:00"
1000029,"Amplexor","","info@amplexor.com","","www.amplexor.com","Rue de Luxembourg 55 ","8077","Bertrange ","",1129,1001,1017,"Good","Customer","2016-12-20 17:32:50","2022-09-21 22:03:00"
1000030,"RixTrans","","info@rixtrans.com","","http://www.rixtrans.com/","Bauskas iela 58a","LV-1004","RÄ«ga","",1122,1001,1017,"Good","Customer","2017-01-02 09:13:14","2022-09-21 22:03:00"
1000031,"Lingua-World GmbH (M)","","info@lingua-world.de","+49 0711 2538889","www.lingua-world.de","Tübinger Str. 27","70178 ","Stuttgart","",1093,1001,1017,"Good","Lead","2017-01-02 16:32:28","2022-09-21 22:03:00"
1000032,"ALPHATRAD FRANCE","","","","www.alphatrad.com","11, Avenue de la Tremblaie","F- 91223 LE PLESSIS PATE CEDEX","FR 27 323 161 810","",1089,1001,1017,"Good","Customer","2017-01-02 17:13:43","2022-09-21 22:03:00"
1000033,"Alpha CRC (Thisisalpha)  (M)","","","","www.thisisalpha.com","St Andrew’s House","CB4 1DL","Cambridge ","",1001,1001,1017,"Good","Lead","2017-01-16 05:59:36","2022-09-21 22:03:00"
1000034,"ElaN Languages","","customerservice@elanlanguages.com","","www.elanlanguages.com","Marktplein 13","BE 0453.420.164","VAT reversed charges","",1022,1001,1017,"Good","Customer","2017-01-30 17:26:30","2022-09-21 22:03:00"
