3000019,"Full Translation ",19874,"",3676.69,2000032,126,84,4,339,"2016-11-30 07:59:57"
3000021,"Redline Translations",270,"0",0.185,2000034,126,84,4,339,"2016-12-01 06:23:53"
3000024,"Redline Translation",1,"",50,2000036,126,84,4,339,"2016-12-09 08:27:37"
3000025,"Full Translation",2055,"",380.11,2000037,126,84,4,339,"2016-12-09 08:30:32"
3000026,"Full Translation",645,"",119.3805,2000038,126,84,4,339,"2016-12-09 08:33:27"
3000027,"Full Translation",4036,"",746.6785,2000039,126,84,4,339,"2016-12-09 08:41:00"
3000028,"Redline Translation",1,"",50,2000040,126,84,4,339,"2016-12-09 08:45:29"
3000029,"Full Translation",2051,"",379.4905,2000041,126,84,4,339,"2016-12-09 08:48:44"
3000030,"Full Translation",290,"",53.58044,2000042,126,84,4,339,"2016-12-09 08:52:24"
3000031,"Redline Translation",1,"",50,2000035,126,84,4,339,"2016-12-09 09:00:54"
3000032,"Redline Translation",1,"1",50,2000033,126,84,4,339,"2016-12-09 10:03:19"
3000034,"Translation ",30176,"0",4073.81022,2000043,126,84,5,339,"2016-12-13 08:12:02"
3000035,"Translation Part 1",45144,"0",6320.16,2000044,30,84,4,339,"2016-12-20 02:49:55"
3000036,"Translation Part 2",75240,"0",10533.6,2000044,30,84,4,339,"2016-12-20 02:51:15"
3000037,"Translation Part 3",30096,"0",4213.44,2000044,30,84,4,339,"2016-12-20 02:52:41"
3000038,"Tit-bits Translation",2182,"0",305.48,2000045,30,84,4,339,"2016-12-20 03:00:52"
3000039,"Introduction of PhD Thesis",1105,"0",154.7,2000045,30,84,4,339,"2016-12-20 03:07:01"
3000040,"Brochure Translation",1797,"0",251.58,2000045,30,84,4,339,"2016-12-20 03:08:07"
3000041,"Resume Dr. Khaled",589,"0",0,2000045,30,84,4,339,"2016-12-20 03:09:10"
3000042,"Translation",6,"0",1500,2000046,30,84,4,338,"2017-01-03 19:39:29"
3000043,"Copywriting",2,"0",900,2000047,30,84,4,335,"2017-01-03 20:16:40"
3000044,"Translation & Revision",20000,"0",10000,2000048,30,84,2,339,"2017-01-10 10:55:39"
3000045,"Full Translation",1814,"0",634.9,2000049,84,30,4,339,"2017-01-10 10:59:42"
3000046,"Full Translation",2332,"0",1049.4,2000050,30,84,4,339,"2017-01-10 11:02:57"
3000047,"Redline Translation",1,"1",50,2000051,126,84,4,339,"2017-01-28 04:00:10"
3000048,"Full Translation",579,"0",107.1705,2000052,126,84,4,339,"2017-01-28 04:04:53"
3000049,"Document Translation",493,"0",39.44,2000053,30,84,2,339,"2017-01-28 04:27:15"
3000050,"Document Translation",308,"0",40.001,2000054,142,84,2,331,"2017-01-28 04:33:52"
3000051,"Document Translation",3009,"0",240.72,2000055,30,84,2,339,"2017-01-28 04:39:55"
3000052,"Document Translation",367,"0",29.36,2000056,30,84,2,339,"2017-01-28 04:45:59"
3000053,"Document Translation",1,"1",35,2000057,142,84,2,331,"2017-01-28 04:52:12"
3000054,"Full Translation",7000,"0",980,2000059,30,84,4,339,"2017-02-07 07:46:52"
3000055,"2017011616/#8/1",2711,"0",325.2804,2000060,84,24,2,339,"2017-02-21 05:23:09"
3000056,"2017011572/#56/1",167,"0",20.0004,2000060,84,228,2,339,"2017-02-21 05:31:35"
3000057,"Redline Translation",1,"1",50,2000062,126,84,4,339,"2017-03-11 04:06:39"
3000058,"Redline Translation ",1,"1",50,2000063,126,84,4,339,"2017-03-11 04:08:49"
