list_ID,created_date,unit_price,currency_ID,source_language_ID,target_language_ID,task_type_ID,creator_ID,resource_ID,unit_ID,sub_matter_ID,minimum_charge
30,2016-11-30 07:49:44,0.13,1,126,84,518,1000009,8000035,339,700,0
32,2016-12-01 08:23:28,0.05,1,258,84,517,999998,8000037,339,700,0
38,2016-12-13 08:15:46,0.08,1,126,84,517,1000001,8000035,339,700,0
55,2017-01-15 10:19:14,0.16,4,30,84,517,1000002,8000053,339,700,0
60,2017-01-15 13:21:00,0.01,1,84,84,512,1000002,8000058,339,700,0
63,2017-01-15 13:27:20,0.15,4,99,30,517,1000002,8000060,339,700,0
64,2017-01-15 13:27:20,0.25,4,30,99,517,1000002,8000060,339,700,0
65,2017-01-15 13:29:42,0.01,1,84,84,512,1000002,8000061,339,700,0
68,2017-04-16 11:05:05,0.1,1,98,84,517,1000002,8000063,339,700,0
73,2017-04-25 20:07:37,0.4,4,99,30,517,1000000,8000066,339,700,0
75,2017-04-25 20:52:00,0.07,1,84,24,517,1000002,8000067,339,700,0
77,2017-04-27 13:33:12,0.04,1,226,84,517,1000009,8000069,339,700,0
78,2017-04-28 11:47:42,25,1,119,84,508,1000002,8000035,333,700,0
80,2017-04-29 18:10:00,0.09,1,119,84,518,1000009,8000035,339,700,0
81,2017-04-29 18:26:15,0.09,1,261,84,518,1000009,8000035,339,700,0
85,2017-05-18 05:59:29,0.08,1,160,84,517,1000002,8000074,339,700,0
86,2017-05-18 08:27:14,0.03,1,261,84,517,1000002,8000075,339,700,0
88,2017-05-24 08:21:58,0.08,1,84,243,518,1000002,8000035,339,700,0
89,2017-05-24 12:35:05,0.08,1,243,84,518,1000002,8000035,339,700,0
90,2017-05-24 12:48:36,25,1,243,84,513,1000002,8000035,333,700,0
92,2017-05-27 11:48:32,0.08,2,84,235,518,1000002,8000078,339,700,0
95,2017-06-30 19:32:31,0.017,3,84,84,512,1000002,8000080,339,700,0
97,2017-07-03 11:40:20,0.25,4,30,84,519,1000000,8000082,339,700,0
123,2017-09-22 20:38:58,0.25,4,84,30,517,1000000,8000102,339,716,0
124,2017-09-22 20:38:58,0.25,4,30,84,517,1000000,8000102,339,716,0
129,2017-09-23 17:38:33,0.05,2,153,84,519,1000009,8000106,339,716,0
130,2017-09-23 17:53:11,0.04,2,153,84,517,1000009,8000107,339,716,0
131,2017-09-23 17:56:27,0.053,2,153,84,518,1000009,8000107,339,716,0
132,2017-09-25 12:50:35,12,3,25,28,503,1000004,8000108,337,705,0
133,2017-09-25 15:47:37,0.1,1,84,126,519,1000000,8000035,339,716,0
134,2017-09-26 10:01:02,0.11,2,84,99,519,1000000,8000109,339,716,0
135,2017-09-27 12:23:09,0.032,1,256,84,517,1000009,8000110,339,716,0
137,2017-09-27 15:11:36,0.04,1,84,90,517,1000000,8000112,339,716,0
142,2017-09-29 22:15:27,0.07,1,84,277,517,1000009,8000117,339,716,0
143,2017-09-29 22:15:27,15,1,84,277,512,1000009,8000117,333,716,0
